# energy(eV) alpha
4.415799999999999947e+00 3.273661847307565040e+05
4.463300000000000267e+00 3.280094794860313996e+05
4.510799999999999699e+00 3.291371573367600795e+05
4.558200000000000252e+00 3.299150155644295737e+05
4.605699999999999683e+00 3.305212904868351761e+05
4.653200000000000003e+00 3.316534168062201352e+05
4.700700000000000323e+00 3.331739921062925714e+05
4.748199999999999754e+00 3.339536001067942125e+05
4.795600000000000307e+00 3.336315067165817600e+05
4.843099999999999739e+00 3.330660208995651919e+05
4.890600000000000058e+00 3.326205581496644299e+05
4.938100000000000378e+00 3.320965000112217967e+05
4.985599999999999810e+00 3.315122614826710778e+05
5.033100000000000129e+00 3.313064606375757721e+05
5.080499999999999794e+00 3.317097645902688964e+05
5.128000000000000114e+00 3.323327688713173848e+05
5.175500000000000433e+00 3.328155788548239507e+05
5.222999999999999865e+00 3.336046072678267374e+05
5.270500000000000185e+00 3.353210492500720429e+05
5.317899999999999849e+00 3.374199010639836197e+05
5.365400000000000169e+00 3.386552393368838239e+05
5.412899999999999601e+00 3.387619417856149958e+05
5.460399999999999920e+00 3.384310577207771130e+05
5.507900000000000240e+00 3.385609154678367195e+05
5.555399999999999672e+00 3.398809936443002080e+05
5.602800000000000225e+00 3.423620172431746032e+05
5.650299999999999656e+00 3.451963691029365291e+05
5.697799999999999976e+00 3.470934809419883532e+05
5.745300000000000296e+00 3.471593733121910482e+05
5.792799999999999727e+00 3.459911716870008386e+05
5.840200000000000280e+00 3.450289573408765136e+05
5.887699999999999712e+00 3.456788611947013997e+05
5.935200000000000031e+00 3.477549832135329489e+05
5.982700000000000351e+00 3.493095421448628767e+05
6.030199999999999783e+00 3.486987907708741841e+05
6.077600000000000335e+00 3.459807753253875999e+05
6.125099999999999767e+00 3.421626839798649307e+05
6.172600000000000087e+00 3.383276606198043446e+05
6.220100000000000406e+00 3.355010940606067888e+05
6.267599999999999838e+00 3.337080562476304476e+05
6.315100000000000158e+00 3.322592260671774275e+05
6.362499999999999822e+00 3.308317668437779066e+05
6.410000000000000142e+00 3.293123666206460912e+05
6.457499999999999574e+00 3.275583645290937857e+05
6.504999999999999893e+00 3.252264679092823644e+05
6.552500000000000213e+00 3.223638622943503433e+05
6.599899999999999878e+00 3.196676821960391826e+05
6.647400000000000198e+00 3.176555921534707886e+05
6.694899999999999629e+00 3.157589892614053097e+05
6.742399999999999949e+00 3.127136763517881627e+05
6.789900000000000269e+00 3.079720534750208608e+05
6.837399999999999700e+00 3.021388401588687557e+05
6.884800000000000253e+00 2.959030580201991252e+05
6.932299999999999685e+00 2.896258914568561595e+05
6.979800000000000004e+00 2.838965125158184674e+05
7.027300000000000324e+00 2.791820456307038548e+05
7.074799999999999756e+00 2.753741415226323879e+05
7.122200000000000308e+00 2.719039102590987459e+05
7.169699999999999740e+00 2.683103811812756467e+05
7.217200000000000060e+00 2.644697911920768674e+05
7.264700000000000379e+00 2.605218283665127528e+05
7.312199999999999811e+00 2.566493674226469884e+05
7.359700000000000131e+00 2.531245259971425403e+05
7.407099999999999795e+00 2.500595122735155746e+05
7.454600000000000115e+00 2.474968835833092162e+05
7.502100000000000435e+00 2.454737892049255315e+05
7.549599999999999866e+00 2.434226940273394284e+05
7.597100000000000186e+00 2.408045472556900640e+05
7.644499999999999851e+00 2.379757772156348219e+05
7.692000000000000171e+00 2.353879938268867845e+05
